symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00078000,-1.407,0.05477103,0.05544000,0.05467000,0.00990000,0.05467000,32.71450000,0.05468000,64.56770000,0.05545000,0.05545000,0.05429000,29795.85490000,1631.94961237,1697652456300,1697738856300,424060805,424091931,31127
LTCBTC,-0.00002700,-1.244,0.00214221,0.00216900,0.00214400,4.15500000,0.00214300,72.52900000,0.00214400,129.15100000,0.00217100,0.00217400,0.00212000,27327.59200000,58.54143539,1697652455555,1697738855555,93815456,93823546,8091
BNBBTC,-0.00009600,-1.287,0.00739117,0.00746200,0.00736600,0.11400000,0.00736500,3.81900000,0.00736600,15.50900000,0.00746200,0.00746300,0.00729100,22116.32900000,163.46546049,1697652449159,1697738849159,227874497,227900247,25751
NEOBTC,-0.00001200,-5.013,0.00023359,0.00023950,0.00022740,30.86000000,0.00022730,16.58000000,0.00022740,299.89000000,0.00023940,0.00024050,0.00022740,17767.35000000,4.15026014,1697652456218,1697738856218,45561551,45562913,1363
QTUMETH,-0.00002900,-2.100,0.00136511,0.00138300,0.00135200,9.90000000,0.00135300,47.20000000,0.00135800,11.80000000,0.00138100,0.00139100,0.00135200,540.70000000,0.73811400,1697652364404,1697738764404,5404028,5404056,29
EOSETH,-0.00000170,-0.498,0.00034158,0.00034120,0.00033970,88.00000000,0.00033940,773.10000000,0.00033990,377.00000000,0.00034140,0.00034310,0.00033920,11650.20000000,3.97945742,1697652456128,1697738856128,23503036,23503154,119
SNTETH,-0.00000047,-2.898,0.00001597,0.00001620,0.00001575,225.00000000,0.00001563,4094.00000000,0.00001572,15869.00000000,0.00001622,0.00001631,0.00001545,765909.00000000,12.22952155,1697652431439,1697738831439,3918654,3918759,106
BNTETH,0.00002940,8.376,0.00036326,0.00035210,0.00038040,2.90000000,0.00037970,153.40000000,0.00038070,202.10000000,0.00035100,0.00039060,0.00034000,98042.20000000,35.61440748,1697652456502,1697738856502,2254754,2255931,1178
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
GASBTC,-0.00000110,-1.360,0.00007987,0.00008050,0.00007980,3131.40000000,0.00007980,3.10000000,0.00007990,21.50000000,0.00008090,0.00008120,0.00007890,10378.00000000,0.82891267,1697652414710,1697738814710,20855626,20855995,370
BNBETH,0.00000000,0.000,0.13487810,0.13470000,0.13460000,0.67000000,0.13470000,1.03700000,0.13480000,28.51100000,0.13460000,0.13600000,0.13390000,8297.69800000,1119.17776570,1697652453364,1697738853364,56511093,56518181,7089
BTCUSDT,254.87000000,0.900,28463.67937231,28333.03000000,28587.91000000,0.00025000,28587.90000000,13.61744000,28587.91000000,4.12961000,28333.04000000,28916.89000000,28100.66000000,33857.47920000,963708432.30340020,1697652456799,1697738856799,3244564617,3245821465,1256849
ETHUSDT,-7.81000000,-0.497,1556.80364919,1570.82000000,1563.02000000,0.06400000,1563.02000000,89.03890000,1563.03000000,30.61830000,1570.83000000,1574.45000000,1541.61000000,218184.73630000,339670793.66893900,1697652456811,1697738856811,1211792842,1212254985,462144
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689570969714,1689657369714,-1,-1,0
